document_id,citation_de,citations_list
55422,4098232,['4098232']
1839004,1275585,['1275585']
1876970,4101863,['4101863']
3726430,3159593; 2687138,"['3159593', '2687138']"
565969,565974,['565974']
1580199,4028235,['4028235']
2121276,4101863,['4101863']
4073046,3877246,['3877246']
149364,4000124,['4000124']
2150517,2076512,['2076512']
7395692,5262083,['5262083']
5151768,1109978,['1109978']
1405374,1321872,['1321872']
912872,4006360,['4006360']
3946401,3922910,['3922910']
3955189,3381831,['3381831']
1912570,1638047; 1734714,"['1638047', '1734714']"
3987354,3898959,['3898959']
1530148,840315,['840315']
1517661,1484543,['1484543']
1148357,3092092; 3147043; 3268523; 3469496; 3469495; 3789263,['3147043']
65086,4185430,['4185430']
1780304,1127735,['1127735']
179372,4118585,['4118585']
7318728,2032674,['2032674']
45975,192948,['192948']
3981910,3981909,['3981909']
4000391,3983614,['3983614']
2170642,399057,['399057']
1382048,824623,['824623']
1829726,1159352,['1159352']
4085600,3819685,['3819685']
640441,4204855,['4204855']
1471004,1190972,['1190972']
1925990,788581,['788581']
1619828,1080087,['1080087']
6319204,6028272,['6028272']
5019403,1928886,['1928886']
5321680,2175418,['2175418']
1115574,91562,['91562']
